基金代码,基金简称,基金管理人,UK
511800,易货币,易方达基金管理有限公司,402320000000000001
511810,理财金H,南方基金管理有限公司,402320000000000002
511820,鹏华添利,鹏华基金管理有限公司,402320000000000003
511830,华泰货币,华泰柏瑞基金管理有限公司,402320000000000004
511850,财富宝E,招商基金管理有限公司,402320000000000005
511860,博时货币,博时基金管理有限公司,402320000000000006
511880,银华日利,银华基金管理有限公司,402320000000000007
511890,景顺货币,景顺长城基金管理有限公司,402320000000000008
511900,富国货币,富国基金管理有限公司,402320000000000009
511910,融通货币,-,40232000000000000a
511920,广发货币,广发基金管理有限公司,40232000000000000b
511930,中融日盈,中融基金管理有限公司,40232000000000000c
511960,嘉实快线,嘉实基金管理有限公司,40232000000000000d
511970,国寿货币,-,40232000000000000e
511980,现金添富,汇添富基金管理股份有限公司,40232000000000000f
511990,华宝添益,华宝兴业基金管理有限公司,402320000000000010
519800,保证金A,――,402320000000000011
519808,嘉实宝A/B,――,402320000000000012
519858,广发现金宝场内货币,――,402320000000000013
519878,国保A,――,402320000000000014
519888,添富快线,――,402320000000000015
519898,现金宝A,――,402320000000000016
