uk,股票代码,uk(16进制)
002122.SZ,天马股份,401110000000144f
002123.SZ,荣信股份,4011100000001441
002124.SZ,天邦股份,4011100000001433
002125.SZ,湘潭电化,4011100000001447
002126.SZ,银轮股份,401110000000147d
002127.SZ,南极电商,401110000000149e
002128.SZ,露天煤业,40111000000014c5
002129.SZ,中环股份,4011100000001490
002130.SZ,沃尔核材,401110000000148f
002131.SZ,利欧股份,401110000000149f
002132.SZ,恒星科技,40111000000014a5
002133.SZ,广宇集团,40111000000014bf
002134.SZ,天津普林,40111000000014b4
002135.SZ,东南网架,40111000000014b5
002136.SZ,安 纳 达,40111000000014be
002137.SZ,麦达数字,4011100000001569
002138.SZ,顺络电子,401110000000156b
002139.SZ,拓邦股份,40111000000014ed
002140.SZ,东华科技,40111000000015a8
002141.SZ,蓉胜超微,4011100000001629
002142.SZ,宁波银行,4011100000001634
002143.SZ,印纪传媒,4011100000001622
002144.SZ,宏达高科,4011100000001621
002145.SZ,中核钛白,401110000000168d
002146.SZ,荣盛发展,4011100000001645
002147.SZ,方圆支承,401110000000165a
002148.SZ,北纬通信,4011100000001647
002149.SZ,西部材料,401110000000164d
002150.SZ,通润装备,401110000000164b
002151.SZ,北斗星通,4011100000001666
002152.SZ,广电运通,401110000000164c
002153.SZ,石基信息,401110000000163a
002154.SZ,报 喜 鸟,401110000000177d
002155.SZ,湖南黄金,4011100000001665
002156.SZ,通富微电,4011100000001667
002157.SZ,正邦科技,401110000000165b
002158.SZ,汉钟精机,401110000000168f
002159.SZ,三特索道,4011100000001646
002160.SZ,常铝股份,401110000000177a
002161.SZ,远 望 谷,401110000000177b
002162.SZ,悦心健康,4011100000001783
002163.SZ,中航三鑫,4011100000001784
002164.SZ,宁波东力,4011100000001782
002165.SZ,红 宝 丽,401110000000179e
002166.SZ,莱茵生物,40111000000017a0
002167.SZ,东方锆业,401110000000178d
002168.SZ,深圳惠程,4011100000001690
002169.SZ,智光电气,4011100000001785
002170.SZ,芭田股份,4011100000001592
002171.SZ,楚江新材,401110000000178f
002172.SZ,澳洋科技,40111000000017cf
002173.SZ,千足珍珠,40111000000017e3
002174.SZ,游族网络,40111000000017d7
002175.SZ,东方网络,401110000000178e
002176.SZ,江特电机,40111000000017fb
002177.SZ,御银股份,4011100000001808
002178.SZ,延华智能,401110000000182a
002179.SZ,中航光电,4011100000001807
002180.SZ,艾派克,4011100000001822
002181.SZ,粤 传 媒,4011100000000440
002182.SZ,云海金属,4011100000001839
002183.SZ,怡 亚 通,4011100000001834
002184.SZ,海得控制,401110000000183a
002185.SZ,华天科技,4011100000001835
002186.SZ,全 聚 德,401110000000186e
002187.SZ,广百股份,401110000000185b
002188.SZ,巴士在线,401110000000185a
002189.SZ,利达光电,4011100000001858
002190.SZ,成飞集成,40111000000018bd
002191.SZ,劲嘉股份,40111000000018be
002192.SZ,融捷股份,401110000000179f
002193.SZ,山东如意,401110000000188d
002194.SZ,武汉凡谷,40111000000018c0
002195.SZ,二三四五,40111000000018c1
002196.SZ,方正电机,4011100000001889
002197.SZ,证通电子,40111000000018e6
002198.SZ,嘉应制药,40111000000018db
002199.SZ,东晶电子,40111000000018d2
002200.SZ,云投生态,40111000000018d1
002201.SZ,九鼎新材,40111000000018f8
002202.SZ,金风科技,401110000000190b
002203.SZ,海亮股份,4011100000001904
002204.SZ,大连重工,4011100000001920
002205.SZ,国统股份,401110000000192e
002206.SZ,海 利 得,401110000000194e
002207.SZ,准油股份,4011100000001947
002208.SZ,合肥城建,401110000000188c
002209.SZ,达 意 隆,4011100000001957
002210.SZ,飞马国际,401110000000196f
002211.SZ,宏达新材,4011100000001986
002212.SZ,南洋股份,4011100000001992
002213.SZ,特 尔 佳,4011100000001987
002214.SZ,大立科技,40111000000019b5
002215.SZ,诺 普 信,401110000000199d
002216.SZ,三全食品,4011100000001993
002217.SZ,合力泰,40111000000019b7
002218.SZ,拓日新能,40111000000019b8
002219.SZ,恒康医疗,40111000000019db
002220.SZ,天宝股份,40111000000019cc
002221.SZ,东华能源,40111000000019cb
002222.SZ,福晶科技,40111000000019c6
002223.SZ,鱼跃医疗,4011100000001a35
002224.SZ,三 力 士,40111000000019da
002225.SZ,濮耐股份,4011100000001a36
002226.SZ,江南化工,40111000000019b6
002227.SZ,奥 特 迅,4011100000001a4b
002228.SZ,合兴包装,4011100000001a4a
002229.SZ,鸿博股份,4011100000001a84
002230.SZ,科大讯飞,4011100000001a4f
002231.SZ,奥维通信,4011100000001a7e
002232.SZ,启明信息,4011100000001a7d
002233.SZ,塔牌集团,4011100000001a9e
002234.SZ,民和股份,4011100000001a98
002235.SZ,安妮股份,4011100000001a65
002236.SZ,大华股份,4011100000001aa0
002237.SZ,恒邦股份,4011100000001a50
002238.SZ,天威视讯,4011100000001ab3
002239.SZ,奥特佳,4011100000001ab2
002240.SZ,威华股份,4011100000001aac
002241.SZ,歌尔声学,4011100000001ac9
002242.SZ,九阳股份,4011100000001ac7
002243.SZ,通产丽星,4011100000001a9f
002244.SZ,滨江集团,4011100000001a4c
002245.SZ,澳洋顺昌,4011100000001ac8
002246.SZ,北化股份,4011100000001a99
002247.SZ,帝龙新材,4011100000001ab1
002248.SZ,华东数控,4011100000001adf
002249.SZ,大洋电机,4011100000001a83
002250.SZ,联化科技,4011100000001b1f
002251.SZ,步 步 高,4011100000001aea
002252.SZ,上海莱士,4011100000001aab
002253.SZ,川大智胜,4011100000001a97
002254.SZ,泰和新材,401110000000177c
002255.SZ,海陆重工,4011100000001b0d
002256.SZ,彩虹精化,4011100000001afb
002258.SZ,利尔化学,4011100000001b1e
002259.SZ,升达林业,4011100000001b12
002260.SZ,德奥通航,4011100000001b1d
002261.SZ,拓维信息,4011100000001b0c
002262.SZ,恩华药业,4011100000001b15
002263.SZ,大 东 南,4011100000001ae0
002264.SZ,新 华 都,4011100000001b1c
002265.SZ,西仪股份,4011100000001aaa
002266.SZ,浙富控股,4011100000001ba6
002267.SZ,陕天然气,4011100000001b7a
002268.SZ,卫 士 通,4011100000001b8e
002269.SZ,美邦服饰,4011100000001ba0
002270.SZ,法因数控,4011100000001ba1
002271.SZ,东方雨虹,4011100000001b8f
002272.SZ,川润股份,4011100000001ba4
002273.SZ,水晶光电,4011100000001bb6
002274.SZ,华昌化工,4011100000001ae9
002275.SZ,桂林三金,4011100000001ba7
002276.SZ,万马股份,4011100000001bcc
002277.SZ,友阿股份,4011100000001be8
002278.SZ,神开股份,4011100000001c06
002279.SZ,久其软件,40111000000011fa
002280.SZ,联络互动,4011100000001c1d
002281.SZ,光迅科技,4011100000001c2c
002282.SZ,博深工具,4011100000001bce
002283.SZ,天润曲轴,4011100000001bd0
002284.SZ,亚太股份,4011100000001bcf
002285.SZ,世联行,4011100000001c2b
002286.SZ,保龄宝,4011100000001c3f
002287.SZ,奇正藏药,4011100000001c3e
002288.SZ,超华科技,4011100000001c4a
002289.SZ,宇顺电子,4011100000001c4b
002290.SZ,禾盛新材,4011100000001c51
002291.SZ,星期六,4011100000001c85
002292.SZ,奥飞娱乐,4011100000001c8d
002293.SZ,罗莱生活,4011100000001c9d
002294.SZ,信立泰,4011100000001ca0
002295.SZ,精艺股份,4011100000001c64
002296.SZ,辉煌科技,4011100000001c63
002297.SZ,博云新材,4011100000001cbf
002298.SZ,中电鑫龙,4011100000002309
002299.SZ,圣农发展,401110000000231f
002300.SZ,太阳电缆,4011100000001c86
002301.SZ,齐心集团,4011100000002322
002302.SZ,西部建设,401110000000234d
002303.SZ,美盈森,401110000000237a
002304.SZ,洋河股份,4011100000002349
002305.SZ,南国置业,4011100000002379
002306.SZ,*ST云网,401110000000234a
002307.SZ,北新路桥,401110000000234f
002308.SZ,威创股份,4011100000002385
002309.SZ,中利科技,40111000000023b6
002310.SZ,东方园林,4011100000002398
002311.SZ,海大集团,40111000000023c7
002312.SZ,三泰控股,40111000000023d5
002313.SZ,日海通讯,40111000000023e1
002314.SZ,南山控股,4011100000002400
002315.SZ,焦点科技,4011100000002378
002316.SZ,键桥通讯,4011100000002409
002317.SZ,众生药业,4011100000002438
002318.SZ,久立特材,401110000000242a
002319.SZ,乐通股份,4011100000002439
002320.SZ,海峡股份,4011100000002496
002321.SZ,华英农业,4011100000002451
002322.SZ,理工监测,40111000000024b2
002323.SZ,雅百特,40111000000024b7
002324.SZ,普利特,40111000000024b1
002325.SZ,洪涛股份,401110000000245d
002326.SZ,永太科技,40111000000024b8
002327.SZ,富安娜,401110000000242b
002328.SZ,新朋股份,4011100000002481
002329.SZ,皇氏集团,40111000000024d2
002330.SZ,得利斯,40111000000024d1
002331.SZ,皖通科技,401110000000245e
002332.SZ,仙琚制药,40111000000024f3
002333.SZ,罗普斯金,40111000000024f2
002334.SZ,英威腾,401110000000250f
002335.SZ,科华恒盛,401110000000251b
002336.SZ,人人乐,4011100000002510
002337.SZ,赛象科技,4011100000002519
002338.SZ,奥普光电,4011100000002520
002339.SZ,积成电子,4011100000002544
002340.SZ,格林美,401110000000253e
002341.SZ,新纶科技,4011100000002545
002342.SZ,巨力索具,4011100000002566
002343.SZ,慈文传媒,4011100000002572
002344.SZ,海宁皮城,401110000000254d
002345.SZ,潮宏基,4011100000002573
002346.SZ,柘中股份,4011100000002579
002347.SZ,泰尔重工,401110000000257a
002348.SZ,高乐股份,401110000000259a
002349.SZ,精华制药,40111000000025a5
002350.SZ,北京科锐,4011100000002373
002351.SZ,漫步者,40111000000025aa
002352.SZ,鼎泰新材,40111000000025ab
002353.SZ,杰瑞股份,40111000000025d0
002354.SZ,天神娱乐,40111000000025db
002355.SZ,兴民钢圈,40111000000025cf
002356.SZ,浩宁达,401110000000240a
002357.SZ,富临运业,4011100000002638
002358.SZ,森源电气,401110000000262b
002359.SZ,齐星铁塔,40111000000025e9
002360.SZ,同德化工,4011100000002680
002361.SZ,神剑股份,401110000000268b
002362.SZ,汉王科技,4011100000001bd1
002363.SZ,隆基机械,40111000000026d1
002364.SZ,中恒电气,4011100000002681
002365.SZ,永安药业,401110000000234c
002366.SZ,台海核电,4011100000002689
002367.SZ,康力电梯,4011100000002688
002368.SZ,太极股份,401110000000269a
002369.SZ,卓翼科技,4011100000002674
002370.SZ,亚太药业,4011100000002643
002371.SZ,七星电子,40111000000026a4
002372.SZ,伟星新材,40111000000026ad
002373.SZ,千方科技,40111000000026aa
002374.SZ,丽鹏股份,401110000000269b
002375.SZ,亚厦股份,4011100000002644
002376.SZ,新北洋,40111000000026bc
002377.SZ,国创高新,401110000000270d
002378.SZ,章源钨业,40111000000026c5
002379.SZ,鲁丰环保,40111000000026d3
002380.SZ,科远股份,40111000000026ab
002381.SZ,双箭股份,401110000000259b
002382.SZ,蓝帆医疗,40111000000026f3
002383.SZ,合众思壮,40111000000026d0
002384.SZ,东山精密,401110000000270b
002385.SZ,大北农,401110000000270a
002386.SZ,天原集团,401110000000270c
002387.SZ,黑牛食品,4011100000002757
002388.SZ,新亚制程,4011100000002732
002389.SZ,南洋科技,4011100000002759
002390.SZ,信邦制药,401110000000276e
002391.SZ,长青股份,4011100000002772
002392.SZ,北京利尔,40111000000026ff
002393.SZ,力生制药,4011100000002722
002394.SZ,联发股份,4011100000002721
002395.SZ,双象股份,4011100000002758
002396.SZ,星网锐捷,4011100000001bb7
002397.SZ,梦洁家纺,40111000000026bd
002398.SZ,建研集团,401110000000276d
002399.SZ,海普瑞,4011100000002778
002400.SZ,省广股份,4011100000002825
002401.SZ,中海科技,4011100000002823
002402.SZ,和而泰,401110000000283c
002403.SZ,爱仕达,401110000000283b
002404.SZ,嘉欣丝绸,4011100000002833
002405.SZ,四维图新,401110000000283a
002406.SZ,远东传动,4011100000002834
002407.SZ,多氟多,4011100000002755
002408.SZ,齐翔腾达,401110000000277a
002409.SZ,雅克科技,401110000000283d
002410.SZ,广联达,4011100000002779
002411.SZ,必康股份,4011100000002856
002412.SZ,汉森制药,4011100000002854
002413.SZ,雷科防务,401110000000286b
002414.SZ,高德红外,401110000000286a
002415.SZ,海康威视,4011100000002869
002416.SZ,爱施德,4011100000002868
002417.SZ,三元达,4011100000002888
002418.SZ,康盛股份,401110000000289f
002419.SZ,天虹商场,4011100000001ceb
002420.SZ,毅昌股份,40111000000028a0
002421.SZ,达实智能,40111000000026f4
002422.SZ,科伦药业,40111000000028b3
002423.SZ,中原特钢,40111000000028da
002424.SZ,贵州百灵,40111000000028dd
002425.SZ,凯撒股份,4011100000002889
002426.SZ,胜利精密,40111000000028ec
002427.SZ,尤夫股份,40111000000028ee
002428.SZ,云南锗业,40111000000028db
002429.SZ,兆驰股份,401110000000291b
002430.SZ,杭氧股份,40111000000028fc
002431.SZ,棕榈园林,40111000000028f3
002432.SZ,九安医疗,401110000000291a
002433.SZ,太安堂,4011100000002887
002434.SZ,万里扬,4011100000002924
002435.SZ,长江润发,4011100000002936
002436.SZ,兴森科技,4011100000002925
002437.SZ,誉衡药业,4011100000002953
002438.SZ,江苏神通,4011100000001ce5
002439.SZ,启明星辰,4011100000002985
002440.SZ,闰土股份,4011100000002937
002441.SZ,众业达,401110000000299e
002442.SZ,龙星化工,40111000000028dc
002443.SZ,金洲管道,4011100000002954
002444.SZ,巨星科技,40111000000029c5
002445.SZ,中南重工,40111000000029c9
002446.SZ,盛路通信,4011100000001ce2
002447.SZ,壹桥海参,40111000000028fd
002448.SZ,中原内配,4011100000001ce3
002449.SZ,国星光电,40111000000029d0
002450.SZ,康得新,40111000000029f0
002451.SZ,摩恩电气,4011100000002a14
002452.SZ,长高集团,4011100000002a3a
002453.SZ,天马精化,4011100000002a3e
002454.SZ,松芝股份,4011100000002a3d
002455.SZ,百川股份,4011100000002639
002456.SZ,欧菲光,40111000000028f4
002457.SZ,青龙管业,4011100000002a1e
002458.SZ,益生股份,4011100000002a0e
002459.SZ,天业通联,40111000000028fe
002460.SZ,赣锋锂业,4011100000002a3f
002461.SZ,珠江啤酒,4011100000001c10
002462.SZ,嘉事堂,4011100000002a6d
002463.SZ,沪电股份,4011100000002a6c
002464.SZ,金利科技,4011100000002a74
002465.SZ,海格通信,4011100000002b58
002466.SZ,天齐锂业,40111000000029c7
002467.SZ,二六三,4011100000001cdf
002468.SZ,艾迪西,4011100000002b7f
002469.SZ,三维工程,401110000000299c
002470.SZ,金正大,4011100000002ba2
002471.SZ,中超控股,4011100000002bef
002472.SZ,双环传动,4011100000002c26
002473.SZ,圣莱达,4011100000002bf5
002474.SZ,榕基软件,4011100000002450
002475.SZ,立讯精密,4011100000002c2c
002476.SZ,宝莫股份,4011100000002ba1
002477.SZ,雏鹰农牧,4011100000002c4f
002478.SZ,常宝股份,4011100000002bee
002479.SZ,富春环保,4011100000002c4e
002480.SZ,新筑股份,4011100000002c58
002481.SZ,双塔食品,4011100000002c5f
002482.SZ,广田股份,4011100000002c86
002483.SZ,润邦股份,4011100000002d1f
002484.SZ,江海股份,4011100000002b60
002485.SZ,希努尔,4011100000002c85
002486.SZ,嘉麟杰,4011100000002c81
002487.SZ,大金重工,4011100000002cd0
002488.SZ,金固股份,4011100000002cb3
002489.SZ,浙江永强,4011100000002323
002490.SZ,山东墨龙,4011100000001ce8
002491.SZ,通鼎互联,4011100000002d04
002492.SZ,恒基达鑫,40111000000029c6
002493.SZ,荣盛石化,4011100000002d03
002494.SZ,华斯股份,4011100000002d56
002495.SZ,佳隆股份,4011100000002cd6
002496.SZ,辉丰股份,4011100000002b3f
002497.SZ,雅化集团,4011100000002d39
002498.SZ,汉缆股份,4011100000002d67
002499.SZ,科林环保,4011100000002dbc
002500.SZ,山西证券,4011100000002c87
002501.SZ,利源精制,4011100000002dbd
002502.SZ,骅威股份,4011100000002de7
002503.SZ,搜于特,4011100000002e23
002504.SZ,弘高创意,4011100000002e01
002505.SZ,大康牧业,4011100000002e00
002506.SZ,协鑫集成,401110000000230a
002507.SZ,涪陵榨菜,4011100000002e3e
002508.SZ,老板电器,4011100000002e04
002509.SZ,天广消防,4011100000002e22
002510.SZ,天汽模,4011100000002dff
002511.SZ,中顺洁柔,4011100000002dfe
002512.SZ,达华智能,4011100000002e77
002513.SZ,蓝丰生化,4011100000002e3f
002514.SZ,宝馨科技,4011100000002e3d
002515.SZ,金字火腿,4011100000002e6b
002516.SZ,旷达科技,4011100000002e84
002517.SZ,恺英网络,4011100000002e85
002518.SZ,科士达,4011100000002cfc
002519.SZ,银河电子,4011100000002ea4
002520.SZ,日发精机,4011100000002e76
002521.SZ,齐峰新材,4011100000002ca4
002522.SZ,浙江众成,4011100000002eb5
002523.SZ,天桥起重,40111000000023d6
002524.SZ,光正集团,4011100000002ef5
002526.SZ,山东矿机,4011100000002f0d
002527.SZ,新时达,4011100000002bf6
002528.SZ,英飞拓,4011100000002ef6
002529.SZ,海源机械,4011100000002a1f
002530.SZ,丰东股份,4011100000002bf7
002531.SZ,天顺风能,4011100000002f20
002532.SZ,新界泵业,4011100000002f0e
002533.SZ,金杯电工,4011100000002f8e
002534.SZ,杭锅股份,4011100000002f1e
002535.SZ,林州重机,4011100000002f62
002536.SZ,西泵股份,4011100000002f6f
002537.SZ,海立美达,4011100000002f96
002538.SZ,司尔特,4011100000002567
002539.SZ,新都化工,4011100000002f8c
002540.SZ,亚太科技,4011100000002f36
002541.SZ,鸿路钢构,4011100000002fd1
002542.SZ,中化岩土,4011100000002fe7
002543.SZ,万和电气,4011100000003004
002544.SZ,杰赛科技,4011100000002fbf
002545.SZ,东方铁塔,4011100000002fb6
002546.SZ,新联电子,401110000000300e
002547.SZ,春兴精工,4011100000002ee5
002548.SZ,金新农,4011100000003049
002549.SZ,凯美特气,401110000000262c
002550.SZ,千红制药,4011100000002fbe
002551.SZ,尚荣医疗,4011100000002fd8
002552.SZ,宝鼎科技,4011100000003006
002553.SZ,南方轴承,4011100000003073
002554.SZ,惠博普,4011100000002e03
002555.SZ,三七互娱,4011100000003048
002556.SZ,辉隆股份,4011100000003086
002557.SZ,洽洽食品,4011100000002f70
002558.SZ,世纪游轮,4011100000003046
002559.SZ,亚威股份,4011100000003056
002560.SZ,通达股份,40111000000030f4
002561.SZ,徐家汇,401110000000253f
002562.SZ,兄弟科技,4011100000003150
002563.SZ,森马服饰,4011100000003143
002564.SZ,天沃科技,4011100000003151
002565.SZ,上海绿新,401110000000311c
002566.SZ,益盛药业,40111000000026ac
002567.SZ,唐人神,4011100000002f59
002568.SZ,百润股份,40111000000031d1
002569.SZ,步森股份,4011100000002c28
002570.SZ,贝因美,4011100000002fd3
002571.SZ,德力股份,4011100000003152
002572.SZ,索菲亚,4011100000003225
002573.SZ,清新环境,4011100000003251
002574.SZ,明牌珠宝,4011100000003252
002575.SZ,群兴玩具,401110000000325c
002576.SZ,通达动力,4011100000003253
002577.SZ,雷柏科技,401110000000311d
002578.SZ,闽发铝业,40111000000032a9
002579.SZ,中京电子,401110000000320d
002580.SZ,圣阳股份,4011100000003295
002581.SZ,未名医药,4011100000003223
002582.SZ,好想你,4011100000003389
002583.SZ,海能达,40111000000033cb
002584.SZ,西陇科学,4011100000003388
002585.SZ,双星新材,40111000000033f0
002586.SZ,围海股份,40111000000033f2
002587.SZ,奥拓电子,4011100000003433
002588.SZ,史丹利,401110000000343e
002589.SZ,瑞康医药,4011100000003430
002590.SZ,万安科技,40111000000033ce
002591.SZ,恒大高新,40111000000025ae
002592.SZ,八菱科技,40111000000033e3
002593.SZ,日上集团,40111000000034e6
002594.SZ,比亚迪,40111000000034d7
002595.SZ,豪迈科技,4011100000002c29
002596.SZ,海南瑞泽,401110000000350e
002597.SZ,金禾实业,4011100000003551
002598.SZ,山东章鼓,4011100000003554
002599.SZ,盛通股份,4011100000001cdb
002600.SZ,江粉磁材,4011100000003524
002601.SZ,佰利联,4011100000003526
002602.SZ,世纪华通,401110000000359e
002603.SZ,以岭药业,4011100000003603
002604.SZ,龙力生物,40111000000034e0
002605.SZ,姚记扑克,40111000000034b9
002606.SZ,大连电瓷,4011100000002ef4
002607.SZ,亚夏汽车,401110000000357d
002608.SZ,*ST舜船,4011100000003671
002609.SZ,捷顺科技,4011100000002f63
002610.SZ,爱康科技,401110000000370e
002611.SZ,东方精工,4011100000003743
002612.SZ,朗姿股份,401110000000375e
002613.SZ,北玻股份,4011100000002969
002614.SZ,蒙发利,4011100000002c25
002615.SZ,哈尔斯,4011100000002ce3
002616.SZ,长青集团,4011100000003752
002617.SZ,露笑科技,401110000000378f
002618.SZ,丹邦科技,40111000000036d5
002619.SZ,巨龙管业,4011100000003784
002620.SZ,瑞和股份,401110000000362b
002621.SZ,三垒股份,4011100000003783
002622.SZ,永大集团,401110000000295c
002623.SZ,亚玛顿,401110000000393e
002624.SZ,完美环球,401110000000377e
002625.SZ,龙生股份,4011100000003910
002626.SZ,金达威,4011100000003510
002627.SZ,宜昌交运,401110000000366e
002628.SZ,成都路桥,401110000000390f
002629.SZ,仁智油服,401110000000370d
002630.SZ,华西能源,4011100000002700
002631.SZ,德尔未来,40111000000039bb
002632.SZ,道明光学,4011100000003a17
002633.SZ,申科股份,40111000000039bc
002634.SZ,棒杰股份,401110000000399a
002635.SZ,安洁科技,40111000000039e9
002636.SZ,金安国纪,4011100000003969
002637.SZ,赞宇科技,4011100000003941
002638.SZ,勤上光电,4011100000003a95
002639.SZ,雪人股份,4011100000003a61
002640.SZ,跨境通,401110000000399b
002641.SZ,永高股份,401110000000378e
002642.SZ,荣之联,4011100000003aca
002643.SZ,万润股份,4011100000002d85
002644.SZ,佛慈制药,40111000000028fb
002645.SZ,华宏科技,4011100000003a62
002646.SZ,青青稞酒,4011100000003a5f
002647.SZ,宏磊股份,4011100000003a98
002648.SZ,卫星石化,4011100000003a18
002649.SZ,博彦科技,4011100000003b14
002650.SZ,加加食品,4011100000003db0
002651.SZ,利君股份,4011100000003ad7
002652.SZ,扬子新材,4011100000003d76
002653.SZ,海思科,4011100000003e30
002654.SZ,万润科技,4011100000003e2d
002655.SZ,共达电声,4011100000003ba9
002656.SZ,摩登大道,4011100000003baa
002657.SZ,中科金财,4011100000003e8e
002658.SZ,雪迪龙,4011100000003eb4
002659.SZ,中泰桥梁,4011100000003eb8
002660.SZ,茂硕电源,4011100000003eb1
002661.SZ,克明面业,4011100000003eb7
002662.SZ,京威股份,4011100000003d4e
002663.SZ,普邦园林,4011100000003e86
002664.SZ,信质电机,4011100000003b15
002665.SZ,首航节能,4011100000003f7e
002666.SZ,德联集团,4011100000003df8
002667.SZ,鞍重股份,4011100000003d0c
002668.SZ,奥马电器,4011100000003ac7
002669.SZ,康达新材,4011100000003eb3
002670.SZ,华声股份,4011100000003eeb
002671.SZ,龙泉股份,4011100000003f51
002672.SZ,东江环保,4011100000003e85
002673.SZ,西部证券,4011100000003a8e
002674.SZ,兴业科技,4011100000003eb6
002675.SZ,东诚药业,4011100000003ef8
002676.SZ,顺威股份,4011100000003f1d
002677.SZ,浙江美大,4011100000003f1b
002678.SZ,珠江钢琴,4011100000004045
002679.SZ,福建金森,401110000000407d
002680.SZ,长生生物,40111000000040c9
002681.SZ,奋达科技,401110000000411c
002682.SZ,龙洲股份,4011100000003fa9
002683.SZ,宏大爆破,4011100000004133
002684.SZ,猛狮科技,4011100000004179
002685.SZ,华东重机,4011100000003f94
002686.SZ,亿利达,401110000000411d
002687.SZ,乔治白,40111000000040c5
002688.SZ,金河生物,4011100000003d58
002689.SZ,远大智能,401110000000407e
002690.SZ,美亚光电,401110000000402f
002691.SZ,冀凯股份,4011100000004046
002692.SZ,远程电缆,4011100000003fc7
002693.SZ,双成药业,401110000000417a
002694.SZ,顾地科技,40111000000040c6
002695.SZ,煌上煌,401110000000424f
002696.SZ,百洋股份,4011100000003f7f
002697.SZ,红旗连锁,4011100000004493
002698.SZ,博实股份,40111000000040f0
002699.SZ,美盛文化,4011100000003f93
002700.SZ,新疆浩源,4011100000004408
002701.SZ,奥瑞金,40111000000040ba
002702.SZ,海欣食品,4011100000002f58
002703.SZ,浙江世宝,4011100000004289
002705.SZ,新宝股份,401110000000452a
002706.SZ,良信电器,4011100000003055
002707.SZ,众信旅游,40111000000044ec
002708.SZ,光洋股份,401110000000424e
002709.SZ,天赐材料,4011100000004247
002711.SZ,欧浦智网,40111000000040c4
002712.SZ,思美传媒,40111000000048ea
002713.SZ,东易日盛,40111000000041fc
002714.SZ,牧原股份,4011100000004285
002715.SZ,登云股份,40111000000041fa
002716.SZ,金贵银业,40111000000041fb
002717.SZ,岭南园林,40111000000036d4
