公司代码,公司简称,公司全称,B股代码,B股简称,UK编码
000011,深物业A,深圳市物业发展(集团)股份有限公司,200011,深物业B,4081100000000001
000012,南 玻Ａ,中国南玻集团股份有限公司,200012,南 玻Ｂ,4081100000000002
000016,深康佳Ａ,康佳集团股份有限公司,200016,深康佳Ｂ,4081100000000003
000017,深中华A,深圳中华自行车(集团)股份有限公司,200017,深中华B,4081100000000004
000018,神州长城,神州长城股份有限公司,200018,神州B,4081100000000005
000019,深深宝Ａ,深圳市深宝实业股份有限公司,200019,深深宝Ｂ,4081100000000006
000020,深华发Ａ,深圳中恒华发股份有限公司,200020,深华发Ｂ,4081100000000007
000022,深赤湾Ａ,深圳赤湾港航股份有限公司,200022,深赤湾Ｂ,4081100000000008
000025,特 力Ａ,深圳市特力(集团)股份有限公司,200025,特 力Ｂ,4081100000000009
000026,飞亚达Ａ,飞亚达（集团）股份有限公司,200026,飞亚达Ｂ,408110000000000a
000028,国药一致,国药集团一致药业股份有限公司,200028,一致Ｂ,408110000000000b
000029,深深房Ａ,深圳经济特区房地产(集团)股份有限公司,200029,深深房Ｂ,408110000000000c
000030,富奥股份,富奥汽车零部件股份有限公司,200030,富奥B,408110000000000d
000037,*ST南电A,深圳南山热电股份有限公司,200037,*ST南电B,408110000000000e
000045,深纺织Ａ,深圳市纺织(集团)股份有限公司,200045,深纺织Ｂ,408110000000000f
000053,深基地Ｂ,深圳赤湾石油基地股份有限公司,200053,深基地Ｂ,4081100000000010
000054,建摩B,重庆建设摩托车股份有限公司,200054,建摩B,4081100000000011
000055,方大集团,方大集团股份有限公司,200055,方大Ｂ,4081100000000012
000056,皇庭国际,深圳市皇庭国际企业股份有限公司,200056,皇庭B,4081100000000013
000058,深 赛 格,深圳赛格股份有限公司,200058,深赛格B,4081100000000014
000152,山 航Ｂ,山东航空股份有限公司,200152,山 航Ｂ,4081100000000015
000160,南江B,承德南江股份有限公司,200160,南江B,4081100000000016
000168,舜B,广东舜矗集团）股份有限公司,200168,舜B,4081100000000017
000413,东旭光电,东旭光电科技股份有限公司,200413,东旭B,4081100000000018
000418,小天鹅Ａ,无锡小天鹅股份有限公司,200418,小天鹅Ｂ,4081100000000019
000429,粤高速Ａ,广东省高速公路发展股份有限公司,200429,粤高速Ｂ,408110000000001a
000468,*ST宁通B,南京普天通信股份有限公司,200468,*ST宁通B,408110000000001b
000488,晨鸣纸业,山东晨鸣纸业集团股份有限公司,200488,晨 鸣Ｂ,408110000000001c
000505,*ST珠江,海南珠江控股股份有限公司,200505,*ST珠江B,408110000000001d
000512,闽灿坤Ｂ,厦门灿坤实业股份有限公司,200512,闽灿坤Ｂ,408110000000001e
000521,美菱电器,合肥美菱股份有限公司,200521,皖美菱Ｂ,408110000000001f
000530,大冷股份,大连冷冻机股份有限公司,200530,大 冷Ｂ,4081100000000020
000539,粤电力Ａ,广东电力发展股份有限公司,200539,粤电力Ｂ,4081100000000021
000541,佛山照明,佛山电器照明股份有限公司,200541,粤照明Ｂ,4081100000000022
000550,江铃汽车,江铃汽车股份有限公司,200550,江 铃Ｂ,4081100000000023
000553,沙隆达Ａ,湖北沙隆达股份有限公司,200553,沙隆达Ｂ,4081100000000024
000570,苏常柴Ａ,常柴股份有限公司,200570,苏常柴Ｂ,4081100000000025
000581,威孚高科,无锡威孚高科技集团股份有限公司,200581,苏威孚Ｂ,4081100000000026
000596,古井贡酒,安徽古井贡酒股份有限公司,200596,古井贡Ｂ,4081100000000027
000613,大东海A,海南大东海旅游中心股份有限公司,200613,大东海B,4081100000000028
000625,长安汽车,重庆长安汽车股份有限公司,200625,长 安Ｂ,4081100000000029
000706,*ST瓦轴B,瓦房店轴承股份有限公司,200706,*ST瓦轴B,408110000000002a
000725,京东方Ａ,京东方科技集团股份有限公司,200725,京东方Ｂ,408110000000002b
000726,鲁 泰Ａ,鲁泰纺织股份有限公司,200726,鲁 泰Ｂ,408110000000002c
000761,本钢板材,本钢板材股份有限公司,200761,本钢板Ｂ,408110000000002d
000771,杭汽轮Ｂ,杭州汽轮机股份有限公司,200771,杭汽轮Ｂ,408110000000002e
000869,张 裕Ａ,烟台张裕葡萄酿酒股份有限公司,200869,张 裕Ｂ,408110000000002f
000986,粤华包Ｂ,佛山华新包装股份有限公司,200986,粤华包Ｂ,4081100000000030
000992,中 鲁Ｂ,山东省中鲁远洋渔业股份有限公司,200992,中 鲁Ｂ,4081100000000031
